event,frame,level,video_id
jump,651,1-1,1
jump,808,1-1,1
jump,1153,1-1,1
goomba killed,1189,1-1,1
jump,1235,1-1,1
coinblock hit,1245,1-1,1
jump,1317,1-1,1
mushroom,1385,1-1,1
jump,1609,1-1,1
coinblock hit,1620,1-1,1
jump,1683,1-1,1
jump,1743,1-1,1
jump,1822,1-1,1
coinblock hit,1831,1-1,1
jump,1882,1-1,1
jump,1983,1-1,1
jump,2043,1-1,1
goomba killed,2094,1-1,1
jump,2103,1-1,1
goomba killed,2200,1-1,1
jump,2270,1-1,1
jump,2563,1-1,1
star,2614,1-1,1
jump,2666,1-1,1
goomba killed,2675,1-1,1
jump,2726,1-1,1
goomba killed,2735,1-1,1
fire flower,2753,1-1,1
jump,2801,1-1,1
jump,3189,1-1,1
jump,3259,1-1,1
goomba killed,3331,1-1,1
jump,3352,1-1,1
jump,3412,1-1,1
jump,3482,1-1,1
coinblock hit,3522,1-1,1
jump,3542,1-1,1
koopa killed,3561,1-1,1
jump,3610,1-1,1
coinblock hit,3617,1-1,1
goomba killed,3624,1-1,1
coinblock hit,3657,1-1,1
jump,3679,1-1,1
coinblock hit,3731,1-1,1
jump,3739,1-1,1
jump,3799,1-1,1
fire flower,3858,1-1,1
jump,3888,1-1,1
jump,3948,1-1,1
goomba killed,4128,1-1,1
jump,4133,1-1,1
goomba killed,4235,1-1,1
jump,4288,1-1,1
coinblock hit,4337,1-1,1
jump,4370,1-1,1
coinblock hit,4377,1-1,1
goomba killed,4426,1-1,1
jump,4430,1-1,1
jump,4490,1-1,1
jump,4550,1-1,1
jump,4625,1-1,1
jump,4685,1-1,1
jump,4745,1-1,1
jump,4816,1-1,1
jump,4895,1-1,1
goomba killed,4895,1-1,1
coinblock hit,4904,1-1,1
jump,4955,1-1,1
jump,5015,1-1,1
jump,5087,1-1,1
jump,5147,1-1,1
jump,5207,1-1,1
jump,5291,1-1,1
jump,5359,1-1,1
goomba killed,6588,1-2,1
jump,6603,1-2,1
coinblock hit,6606,1-2,1
jump,6663,1-2,1
fire flower,6696,1-2,1
coinblock hit,6712,1-2,1
jump,6723,1-2,1
coinblock hit,6759,1-2,1
jump,6792,1-2,1
coinblock hit,6799,1-2,1
jump,6872,1-2,1
jump,6932,1-2,1
jump,7064,1-2,1
jump,7124,1-2,1
koopa killed,7156,1-2,1
jump,7188,1-2,1
goomba killed,7237,1-2,1
jump,7268,1-2,1
jump,7332,1-2,1
koopa killed,7368,1-2,1
coinblock hit,7383,1-2,1
jump,7431,1-2,1
coinblock hit,7441,1-2,1
goomba killed,7515,1-2,1
koopa killed,7530,1-2,1
jump,7542,1-2,1
jump,7602,1-2,1
koopa killed,7622,1-2,1
jump,7662,1-2,1
jump,7739,1-2,1
coinblock hit,7747,1-2,1
koopa killed,7753,1-2,1
coinblock hit,7787,1-2,1
jump,7799,1-2,1
jump,7901,1-2,1
coinblock hit,7911,1-2,1
goomba killed,7945,1-2,1
jump,7990,1-2,1
koopa killed,8051,1-2,1
jump,8056,1-2,1
goomba killed,8141,1-2,1
jump,8152,1-2,1
jump,8229,1-2,1
jump,8289,1-2,1
goomba killed,8341,1-2,1
jump,8448,1-2,1
