event,frame,time_stamp,level,video_id
jump,651,00:10,1-1,1
jump,808,00:13,1-1,1
jump,1153,00:19,1-1,1
jump,1235,00:20,1-1,1
coinblock hit,1245,00:20,1-1,1
jump,1317,00:21,1-1,1
mushroom,1405,00:23,1-1,1
jump,1609,00:26,1-1,1
coinblock hit,1620,00:27,1-1,1
jump,1683,00:28,1-1,1
jump,1743,00:29,1-1,1
jump,1822,00:30,1-1,1
coinblock hit,1831,00:30,1-1,1
jump,1882,00:31,1-1,1
jump,1983,00:33,1-1,1
jump,2043,00:34,1-1,1
jump,2103,00:35,1-1,1
jump,2270,00:37,1-1,1
jump,2563,00:42,1-1,1
jump,2666,00:44,1-1,1
goomba killed,2679,00:44,1-1,1
jump,2726,00:45,1-1,1
goomba killed,2739,00:45,1-1,1
fire flower,2767,00:46,1-1,1
jump,2801,00:46,1-1,1
jump,3189,00:53,1-1,1
jump,3259,00:54,1-1,1
goomba killed,3331,00:55,1-1,1
jump,3352,00:55,1-1,1
jump,3412,00:56,1-1,1
jump,3482,00:58,1-1,1
coinblock hit,3522,00:58,1-1,1
jump,3548,00:59,1-1,1
koopa killed,3561,00:59,1-1,1
jump,3610,01:00,1-1,1
coinblock hit,3617,01:00,1-1,1
goomba killed,3624,01:00,1-1,1
coinblock hit,3657,01:00,1-1,1
jump,3679,01:01,1-1,1
coinblock hit,3731,01:02,1-1,1
jump,3739,01:02,1-1,1
jump,3799,01:03,1-1,1
fire flower,3851,01:04,1-1,1
jump,3888,01:04,1-1,1
jump,3948,01:05,1-1,1
goomba killed,4128,01:08,1-1,1
jump,4133,01:08,1-1,1
goomba killed,4235,01:10,1-1,1
jump,4288,01:11,1-1,1
coinblock hit,4337,01:12,1-1,1
jump,4370,01:12,1-1,1
coinblock hit,4377,01:12,1-1,1
goomba killed,4426,01:13,1-1,1
jump,4430,01:13,1-1,1
jump,4490,01:14,1-1,1
jump,4550,01:15,1-1,1
jump,4616,01:16,1-1,1
jump,4681,01:18,1-1,1
jump,4741,01:19,1-1,1
jump,4816,01:20,1-1,1
jump,4895,01:21,1-1,1
goomba killed,4895,01:21,1-1,1
coinblock hit,4904,01:21,1-1,1
jump,4955,01:22,1-1,1
jump,5015,01:23,1-1,1
jump,5087,01:24,1-1,1
jump,5147,01:25,1-1,1
jump,5207,01:26,1-1,1
jump,5291,01:28,1-1,1
jump,5359,01:29,1-1,1
jump,6145,01:42,1-2,1
goomba killed,6588,01:49,1-2,1
jump,6603,01:50,1-2,1
coinblock hit,6606,01:50,1-2,1
jump,6663,01:51,1-2,1
coinblock hit,6712,01:51,1-2,1
jump,6723,01:52,1-2,1
fire flower,6726,01:52,1-2,1
coinblock hit,6759,01:52,1-2,1
